#春秋音義所音專有名詞中古音轉寫
word	middle_chinese_baxter_translation
左矩	矩<kjuX>
場魚矯	矯<kjewX>
石碏	碏<tshjak>
祁奚	祁<gjij,dzyij>
杜祁	祁<gij>
祇彌明	祇<dzye>彌<mjie>
吳子餘祭	祭<tsreajH>
華禦事	禦<ngjoX>
秦伯稻	稻<dawX>
鬭穀於菟	穀<nuwX>於<’u>菟<du>
先穀	穀<huwk>
晉原穀	穀<huwk>
連穀	穀<huwk>
趙穿	穿<tsyhwen>
不窋	窋<trjwit>
石窌	窌<ljuwH,lawH>
子揚䆫	窻<tsrhaewng>
箕鄭	箕<ki>
管城	管<kwanX>
象箾	箾<sraewk>
韶箾	箾<sew>
節	節<dzet,tset>
南籥	籥<yak>
糴茷	糴<dewH,thewH>茷<bjojH,bjot,bajH>
臧紇	紇<hjot>
梁紇	紇<hjot>
純留	純<dwon,dzywin>
純門	純<dzywin,dzywin>
索氏	索<sak>
大索城	索<sak>
劉累	累<ljweX>
綦毋張	綦<gi>毋<mju>
孟公綽	綽<tsyhak>
緇衣	緇<tsri>
有緡	緍<min>
緱氏縣	緱<kuw>
先縠	縠<huwk>
晉原縠	縠<huwk>
士縠	縠<huwk>
曲縣	縣<hwen>
縣門	縣<hwen>
繁纓	繁<ban>
青繩	繩<ying>
繹山	繹<yek>
繹山	繹<yek>
公子繻	繻<sju>
郤缺	缺<khjwiet>
秦伯罃	罃<’eang>
王子罷	罷<bje>
楚公子罷	罷<bje>
公子罷戎	罷<bje,pjeX>
公子罷戎	罷<bje,beaX>
襄罷師	罷<bje,pjeX,罷<beaX>
楚薳罷	罷<bje>
薳罷	罷<bje>
楚薳罷	罷<bje>
叔羆	羆<pje>
子家羈	羈<kje>
江羋	羋<mjieX>
仲孫羯	羯<kjot>
有窮后羿	羿<ngejH>
翟泉	翟<dek>
尉翩	翩<phjien>
耏班	耏<nyi>
耏門	耏<nyi>
聃啓	聃<nam>
鄭公孫黑肱	肱<kwong>
楚公子黑肱	肱<kwong>
叔肸	肸<xit>
羊舌肸	肸<xit>
羊舌肸	肸<xit>
公子黑臀	臀<dwon>
子臧	臧<tsang>
衛世子臧	臧<tsang>
臧氏	臧<tsang>
臼季	臼<gjuwX>
臾駢	臾<yu>駢<ben>
臾駢	臾<yu>駢<ben,beng>
伯與	與<yo>
正與子	與<yo>
展與	與<yo>
子舟	舟<tsyuw>
鬬般	般<paen>
鄭公子般	般<paen>
般庚	般<ban>
蔡世子般	般<paen>
蔿艾獵	艾<ngajH>獵<ljep>
冀芮	芮<nywet>
